Date,2024-12-04 18:44:22
Measurement Type,RT
sensorName,['NONE', 'A'],sensorCount,2,heaterCount,1,tInt,2,tPoints,100,aver,1,RESaver,1,RESNPLC,5,RESrange,auto,chanVar,1,resType,PY_VAR8,RTD,True,
Time,A,Resistance
432.0,369.0089354.382
434.0,369.4582354.3901
436.0,369.7001354.4061
438.0,369.5618354.4087
440.0,369.5965354.4115
442.0,369.4582354.4224
444.0,369.2508354.4358
446.0,368.8708354.4358
448.0,368.5944354.4506
450.0,368.4217354.4668
452.0,368.4562354.4784
454.0,368.9055354.501
456.0,369.2855354.5194
458.0,369.4582354.5329
460.0,369.4238354.5423
462.0,369.4582354.5497
464.0,369.2508354.5543
466.0,369.1127354.5649
468.0,368.94354.5749
470.0,368.4908354.5994
472.0,368.4908354.6106
474.0,368.2834354.6305
476.0,369.0436354.6459
478.0,369.4238354.6639
480.0,369.3546354.6728
482.0,369.5274354.6873
484.0,369.4238354.6892
486.0,369.1819354.6921
488.0,369.078354.7043
490.0,368.94354.7162
492.0,368.5944354.7266
494.0,368.4908354.7361
496.0,368.6981354.7492
498.0,369.2163354.7658
500.0,369.2163354.781
502.0,369.2163354.7992
504.0,369.2508354.8023
506.0,369.0089354.8135
508.0,368.6634354.8215
510.0,368.6289354.8266
512.0,368.5253354.8435
514.0,368.2489354.8643
516.0,368.5944354.8868
518.0,369.0436354.8979
520.0,369.4238354.9137
522.0,369.3891354.9222
524.0,369.631354.9239
526.0,369.2508354.9395
528.0,369.1472354.9497
530.0,368.8017354.9483
532.0,368.4908354.9564
534.0,368.5598354.9715
536.0,368.5253354.9862
538.0,368.7325354.994
540.0,368.9055355.0156
542.0,369.2508355.009
544.0,369.32355.0295
546.0,369.2163355.0322
548.0,368.9055355.0534
550.0,368.8017355.0578
552.0,368.4908355.0686
554.0,368.3526355.0889
556.0,368.5253355.1026
558.0,369.078355.1191
560.0,369.1472355.1297
562.0,369.4238355.136
564.0,369.1819355.1438
566.0,369.2163355.1465
568.0,369.2163355.1563
570.0,369.078355.1636
572.0,368.6289355.1783
574.0,368.3526355.1896
576.0,368.4562355.1992
578.0,368.6634355.2131
580.0,369.1127355.2288
582.0,369.2508355.2368
584.0,369.5618355.2461
586.0,369.4929355.2568
588.0,369.4238355.2666
590.0,369.2163355.2703
592.0,369.1819355.2766
594.0,369.0089355.2877
596.0,368.3181355.2901
598.0,368.4562355.3142
600.0,368.4217355.324
602.0,368.6289355.331
604.0,368.9744355.3437
606.0,369.4929355.3688
608.0,369.7346355.3848
610.0,369.7693355.385
612.0,369.5618355.4011
614.0,369.3891355.4037
616.0,369.078355.4083
